reference_key,external_id,product_name,sku,official_type,presentation,price_cop,image_status,image_url,source_url,active_claims,type,subtype,concern,benefit,ingredient,use,role,stage,system,formulation,finish,relation
admiss-co-official:product:8092908847347,8092908847347,LIMA PAQUETE X10 ADMISS,340910,LIMAS,,10800.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/7707109961586.webp?v=1695907964,https://admiss.com.co/products/lima-paquete-x10-admiss,8,Lima para uñas,Lima para uñas,,,,,Modelado de uñas,Preparación,Sistema de cuidado de manicure | Sistema Admiss: Sistema tradicional de manicure,,,Colección comercial: TODO ADMISS | Colección comercial: HERRAMIENTAS
admiss-co-official:product:9018164740339,9018164740339,LOKI - ESMALTE TRADICIONAL TRASLÚCIDO  ADMISS 10 ML - GAMA ROSADO,314188,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/LOKI-314188.webp?v=1737406292,https://admiss.com.co/products/loki-esmalte-tradicional-admiss-10-ml-gama-rosado,14,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Traslúcido,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS | Colección comercial: COLECCIÓN HÉROES
admiss-co-official:product:7476695597299,7476695597299,LUCAS - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA FUCSIA,312478,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Lucas.webp?v=1717512944,https://admiss.com.co/products/lucas-esmalte-para-unas-10ml,12,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476694647027,7476694647027,LUCHO - ESMALTE DECORACIÓN ESTANDAR ADMISS DECORACION 10 ML - GAMA NEGRO,310926,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/DecoracionLucho.webp?v=1717512675,https://admiss.com.co/products/lucho-esmalte-deco-para-unas-10ml,11,Esmalte de uñas,Esmalte de decoración | Esmalte tradicional,,Alta cobertura declarada,,Decoración de uñas,Color para decoración,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,
admiss-co-official:product:7476693893363,7476693893363,LUCHO - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA NEGRO,310226,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Lucho.webp?v=1717512910,https://admiss.com.co/products/lucho-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Perlado,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476695433459,7476695433459,LUCIANO - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA ROJO,312475,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Luciano.webp?v=1717512876,https://admiss.com.co/products/luciano-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Perlado,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7502151549171,7502151549171,LUIS - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA ROSADO,312721,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Luis.webp?v=1708028098,https://admiss.com.co/products/luis-esmalte-tradicional-cremosos-admiss-10-ml-gama-rosado,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: COLECCIÓN COSMOS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476695630067,7476695630067,MARCOS - ESMALTE TRADICIONAL CREMOSOS ADMISS10 ML - GAMA MARRON,312479,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Marcos.webp?v=1707425559,https://admiss.com.co/products/marcos-esmalte-para-unas-10ml,12,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476697104627,7476697104627,MARIO - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML- GAMA AZUL,312868,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Mario.webp?v=1707425581,https://admiss.com.co/products/mario-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: COLECCIÓN BON BON | Colección comercial: TODO ADMISS
admiss-co-official:product:7476693991667,7476693991667,MARLON - ESMALTE TRADICIONAL TRASLUCIDOS ADMISS 10 ML - GAMA ROSADO,310240,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Marlon.webp?v=1707425682,https://admiss.com.co/products/marlon-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Traslúcido,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
